GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService.new Converter() {...},16,0,0,0,4,0,2,0,2,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService.new SimplePropertyRowMapper() {...},24,0,0,0,4,0,2,0,2,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api,PlanmonitorWonenApiApplication,5,3,0,0,2,1,1,1,1,1
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService,468,0,6,0,123,0,18,0,15,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api,ImportGemeentesApplication,136,0,2,0,30,0,5,0,4,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model.auth,PlanmonitorAuthentication,106,0,8,0,28,0,10,0,6,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.configuration,PopulateTestData,186,0,4,0,62,0,6,0,4,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.configuration,MonitoringConfiguration,0,8,0,0,0,2,0,2,0,2
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.controller,GemeentesController,29,0,2,0,11,0,3,0,2,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.controller,HelloController.HelloResponse,0,9,0,0,0,1,0,1,0,1
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.controller,PlanregistratieController,386,0,36,0,87,0,26,0,8,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.controller,PlanregistratieAutofillController,350,0,12,0,89,0,17,0,11,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.controller,HelloController,17,32,1,1,5,9,1,3,0,3
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMASPIAuthenticationDetailsSource,5,3,0,0,1,1,1,1,1,1
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,ApiSecurityConfig,11,93,0,0,4,29,1,8,1,8
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationToken,86,0,4,0,26,0,10,0,8,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationDetails,29,0,0,0,8,0,3,0,3,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIUserDetails,25,0,0,0,11,0,8,0,8,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationProvider,54,16,2,0,17,7,5,4,4,4
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationFilter,360,61,22,0,98,25,22,7,11,7
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.security,TMAPIUserDetailsService,22,8,0,0,4,3,2,2,2,2
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model,Detailplanning,27,0,0,0,1,0,1,0,1,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model,PlanregistratieComplete,12,0,0,0,1,0,1,0,1,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model,Planregistratie,213,0,0,0,78,0,51,0,51,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model,Gemeente,12,0,0,0,1,0,1,0,1,0
Aggregate Test Coverage,nl.b3p.planmonitorwonen.api.model,Plancategorie,45,0,0,0,1,0,1,0,1,0
